BattlefyName,IGN,Pokepaste
MrKaze,Kaze,"=HYPERLINK(""https://pokepast.es/d5adfd0d65c37b78"")"
gagnol,ATL,"=HYPERLINK(""https://pokepast.es/236ba277954bbd3c"")"
Arath Vera,Arath,"=HYPERLINK(""https://pokepast.es/bf187f4e8148b868"")"
Narret,Narret,"=HYPERLINK(""https://pokepast.es/184e34ad9cf35221"")"
lpfan,Aaron,"=HYPERLINK(""https://pokepast.es/519dbcdb54fbb663"")"
Kangourou007,Kangourou,"=HYPERLINK(""https://pokepast.es/ac7d366df6ca165f"")"
JCS345,あめのかみ,"=HYPERLINK(""https://pokepast.es/5c548641fe6525c9"")"
christianrivera082005,Koopa Troopa,"=HYPERLINK(""https://pokepast.es/b4e15227b33b4bb8"")"
brandonrodri2013,B-Rod,"=HYPERLINK(""https://pokepast.es/3a9d53c51ef3bb56"")"
ゆきこ,ゆきこ,"=HYPERLINK(""https://pokepast.es/b3f2ec1a9a2c5453"")"
PasDer,PasDer,"=HYPERLINK(""https://pokepast.es/16930c5f61786b6e"")"
King Blex,King Blex,"=HYPERLINK(""https://pokepast.es/628193d5930deba2"")"
Jawnzu,Jawnzu,"=HYPERLINK(""https://pokepast.es/0739f39ebbb29e74"")"
