BattlefyName,IGN,Pokepaste
justjakeyvgc,JustJakey,"=HYPERLINK(""https://pokepast.es/d7d0165a665a5229"")"
NayeonLove,나연♥︎,"=HYPERLINK(""https://pokepast.es/c119bf77eb92baa9"")"
Penglin,Penglin,"=HYPERLINK(""https://pokepast.es/9cbfb66075f4aa69"")"
MrSchmoves,Sucker,"=HYPERLINK(""https://pokepast.es/44edd9712d370749"")"
koltyn35,Koltyn,"=HYPERLINK(""https://pokepast.es/09baa174e7baf021"")"
Aelus,Aelus,"=HYPERLINK(""https://pokepast.es/8c3518f063eb1714"")"
SlushiW,Kian,"=HYPERLINK(""https://pokepast.es/3a4b86abd75e1fa3"")"
joesimpson1998,Joe,"=HYPERLINK(""https://pokepast.es/8d4196abf60b3f56"")"
simon_bernard,Ryo,"=HYPERLINK(""https://pokepast.es/f15157d292ebb58a"")"
boarders92,Bobozzo,"=HYPERLINK(""https://pokepast.es/e7809398a62d612e"")"
sepalikalakmali80-1,marcofiero,"=HYPERLINK(""https://pokepast.es/234571f8cca72524"")"
fakekotori,かの,"=HYPERLINK(""https://pokepast.es/8b5229584cef44fa"")"
cgibson1994,Chris,"=HYPERLINK(""https://pokepast.es/02d332a1d2ad91b1"")"
stephanegiangaspero,Heisenbread,"=HYPERLINK(""https://pokepast.es/6d78fd969455de40"")"
nicopolla1999,nik,"=HYPERLINK(""https://pokepast.es/004fdb99eec38939"")"
agonvictor,Víctor,"=HYPERLINK(""https://pokepast.es/fec675009870617b"")"
Huwy,Dyl,"=HYPERLINK(""https://pokepast.es/b84847ecd2713e70"")"
JVg,Pinkman,"=HYPERLINK(""https://pokepast.es/5c4b9d41b6a5de9a"")"
shanewhelan009,Shane,"=HYPERLINK(""https://pokepast.es/d67386dbde09713b"")"
Hirohiro,cotton,"=HYPERLINK(""https://pokepast.es/6e7b23b0a4843b62"")"
francescoalaimo98,Alajmoff,"=HYPERLINK(""https://pokepast.es/6e890bc3315b102a"")"
Yuary,CRYMAX,"=HYPERLINK(""https://pokepast.es/3a9125a33950d4f2"")"
Tabu__24,Tabu,"=HYPERLINK(""https://pokepast.es/07eb1c1c3ce4a7e7"")"
Giansito,Gian,"=HYPERLINK(""https://pokepast.es/5bc41c92bca2678f"")"
ryokon,スカーレット,"=HYPERLINK(""https://pokepast.es/5283e12ca95c95f3"")"
Trevv,Trev,"=HYPERLINK(""https://pokepast.es/40f7596ba2cbbb5d"")"
robertinoparente,Roberto,"=HYPERLINK(""https://pokepast.es/440e7b89386e2d51"")"
ChocolateChum,Samus,"=HYPERLINK(""https://pokepast.es/b54bd638ba57259f"")"
Giottas,Giottas,"=HYPERLINK(""https://pokepast.es/d8d4d577795878fc"")"
fausto-9,Mozart9398,"=HYPERLINK(""https://pokepast.es/4163872844efb72d"")"
KoonKy,KoonKy / Scarlet,"=HYPERLINK(""https://pokepast.es/e6ab33a40e296f10"")"
JuanmaEl32,JuanmaEl32,"=HYPERLINK(""https://pokepast.es/3b9ede39a278fce7"")"
CICCIOTT,CICCIOTT,"=HYPERLINK(""https://pokepast.es/7b966c8d90720144"")"
alessandrocinardi1992,Cinavgc,"=HYPERLINK(""https://pokepast.es/4ecfa8be546f9a14"")"
alepalmito2,Alevuoto,"=HYPERLINK(""https://pokepast.es/1968078523799127"")"
DerBlaueStuhl,waz00,"=HYPERLINK(""https://pokepast.es/4a114e73f3eb4d5c"")"
MGH_games,matthew,"=HYPERLINK(""https://pokepast.es/63ef26bfb1fd24f0"")"
stellar grizzly,Guillem,"=HYPERLINK(""https://pokepast.es/4519080c5a15b95b"")"
kkyytsukide9,ストレリチア,"=HYPERLINK(""https://pokepast.es/e73993dad5715778"")"
ぽんぽんた,ぽんきち,"=HYPERLINK(""https://pokepast.es/7a7bad7c0509eeef"")"
hyden952,Hidan,"=HYPERLINK(""https://pokepast.es/8bbcd48607069f67"")"
kristianlyster95,Lyster,"=HYPERLINK(""https://pokepast.es/ebe92eeb51bf9908"")"
giuliotarlao,Giulio,"=HYPERLINK(""https://pokepast.es/640a57fc348e8e5e"")"
conan,スカーレット,"=HYPERLINK(""https://pokepast.es/3f3ec6ec541d6575"")"
たさあは,落ち着いた,"=HYPERLINK(""https://pokepast.es/79cd4422c772460e"")"
yzanvgc,ゆうき,"=HYPERLINK(""https://pokepast.es/1da301480dd724e2"")"
angelmarcos2006,Angel,"=HYPERLINK(""https://pokepast.es/4dd112954efa4e8e"")"
g-rintaro,オプーナ,"=HYPERLINK(""https://pokepast.es/775c2af5294e60ae"")"
serenaganley11,Sorhana,"=HYPERLINK(""https://pokepast.es/7c88d441396a2900"")"
iscoandyoung,LeCehlou,"=HYPERLINK(""https://pokepast.es/f130821f657daadb"")"
binas,binas,"=HYPERLINK(""https://pokepast.es/611987a72a0d1c96"")"
shino_5,ラン,"=HYPERLINK(""https://pokepast.es/bc0fcb32a1543fb4"")"
DanielP4l4d1n0,Paladino,"=HYPERLINK(""https://pokepast.es/05cff905326e8a67"")"
Pado_22,Pado,"=HYPERLINK(""https://pokepast.es/7b966c8d90720144"")"
TheBaiel8,TheBaiel,"=HYPERLINK(""https://pokepast.es/a5b2dddad5901114"")"
unpinguinfurtif,Didi,"=HYPERLINK(""https://pokepast.es/79924cd47c2d6bf4"")"
Sela133VII,Sela,"=HYPERLINK(""https://pokepast.es/bb9ee816a3aff151"")"
JammJGM,Jamm,"=HYPERLINK(""https://pokepast.es/244ed51c5e63365a"")"
GakkōWhotaku,がをた,"=HYPERLINK(""https://pokepast.es/c34ed4f40df70a2f"")"
32knpoke3710,みつかん。,"=HYPERLINK(""https://pokepast.es/6a7e856b8a6f063f"")"
MichaelderBeste,Michi,"=HYPERLINK(""https://pokepast.es/6b70b69d286ecb16"")"
クロ,スカーレット,"=HYPERLINK(""https://pokepast.es/e4f4c3238a1cce52"")"
FiiVeeVGC,Jordi,"=HYPERLINK(""https://pokepast.es/cb0b38c29574cf36"")"
TheJayA,Jay,"=HYPERLINK(""https://pokepast.es/e3bf41e8d76070bb"")"
Deividcarroll14,Carroll14,"=HYPERLINK(""https://pokepast.es/83087d54449e11c0"")"
liamwestland79,WestyLiam,"=HYPERLINK(""https://pokepast.es/933394ca722c8635"")"
Lushelldo,plastic love,"=HYPERLINK(""https://pokepast.es/ede6c1a6d8484846"")"
KrisKiwii,Kiwi,"=HYPERLINK(""https://pokepast.es/a275d0f32824b691"")"
ring9500,MrRishi,"=HYPERLINK(""https://pokepast.es/8fbf34322c9aa514"")"
Donalla,Donalla,"=HYPERLINK(""https://pokepast.es/7b1fd5090fe64253"")"
Rene Röne,Rene,"=HYPERLINK(""https://pokepast.es/a5f7f2e9b44bd53e"")"
Jontra,Nix,"=HYPERLINK(""https://pokepast.es/dcb2cb17b8436116"")"
Zarkos14,Co$ty,"=HYPERLINK(""https://pokepast.es/8f7cd36d1e25696f"")"
gpauselli,Larchete,"=HYPERLINK(""https://pokepast.es/488afd1ba7e8ca8a"")"
fyluriss,Luriss,"=HYPERLINK(""https://pokepast.es/8d7770eeda58787c"")"
innay28,Vivi,"=HYPERLINK(""https://pokepast.es/87aec02909b68aaa"")"
FLima,FLima,"=HYPERLINK(""https://pokepast.es/6d27bf5d6ee6f465"")"
Marcdragon,Marcos,"=HYPERLINK(""https://pokepast.es/c9b5e23a32e6eaa2"")"
RocksTheRock,Rocks,"=HYPERLINK(""https://pokepast.es/7d519c246c805907"")"
Artcar,Artcar,"=HYPERLINK(""https://pokepast.es/bcf091da297487dc"")"
KevidMC,Kevid,"=HYPERLINK(""https://pokepast.es/ab9d98b9cd884ec8"")"
jorgehernandezacosta1,CostaGG,"=HYPERLINK(""https://pokepast.es/7f22026fd9f2a766"")"
Dabicho,Dabicho,"=HYPERLINK(""https://pokepast.es/893579f9cf90c9a9"")"
samuelpereiramarante,CSK,"=HYPERLINK(""https://pokepast.es/56bd0c515c88f6be"")"
yoshiskill,Yoshi,"=HYPERLINK(""https://pokepast.es/2855dfab217e4156"")"
vista,スカーレット,"=HYPERLINK(""https://pokepast.es/7f4d3565c4ac46f0"")"
ScipioVGC,Lennart,"=HYPERLINK(""https://pokepast.es/e5e2305727366857"")"
s3bastorrad0,Sebas,"=HYPERLINK(""https://pokepast.es/acecd8c3193212a3"")"
olymakk,Olymak,"=HYPERLINK(""https://pokepast.es/b16b3a30243b8c44"")"
memphismoneypanda,Memphis,"=HYPERLINK(""https://pokepast.es/b791619bae62d6e2"")"
YanickVyo,VYO,"=HYPERLINK(""https://pokepast.es/43ccb0fd5e815839"")"
pierrecoca75,Guacamou,"=HYPERLINK(""https://pokepast.es/d73ee772f74107af"")"
JCS345,あめのかみ,"=HYPERLINK(""https://pokepast.es/0eb52723dc75ade2"")"
_MDMA_,+ MDMA +,"=HYPERLINK(""https://pokepast.es/8b97426b06909688"")"
ege1211,えげ,"=HYPERLINK(""https://pokepast.es/52e6701ec514ed2d"")"
alex_mo,Rikku,"=HYPERLINK(""https://pokepast.es/cff97b2c84d2c654"")"
AleDigio,DigioVGC,"=HYPERLINK(""https://pokepast.es/8ff02b780c606c1c"")"
johanrodriguez1017,Johan,"=HYPERLINK(""https://pokepast.es/6646dc1b093f7a09"")"
yanagi02,やなぎ,"=HYPERLINK(""https://pokepast.es/3b114c9a1f50f4e3"")"
888summit888,tsumi88,"=HYPERLINK(""https://pokepast.es/f6324cff779a0904"")"
PresPres,Pres,"=HYPERLINK(""https://pokepast.es/2617eb8019cff395"")"
joanpokemon1234,JG,"=HYPERLINK(""https://pokepast.es/7280ebb474f0d307"")"
professorragna,Ragna,"=HYPERLINK(""https://pokepast.es/d8290f4e470a8c18"")"
Gregorymohr ,Gregory,"=HYPERLINK(""https://pokepast.es/86153373cd1190d3"")"
iPetBigfoot ,Shaun,"=HYPERLINK(""https://pokepast.es/2cbeb662b13640aa"")"
snow-pokepoke,SNOW,"=HYPERLINK(""https://pokepast.es/04f4ed86e63617e3"")"
pasqualepalermo0101,MaiEnemiVGC,"=HYPERLINK(""https://pokepast.es/9be1762e33aac2c6"")"
benclmorrison,Ben,"=HYPERLINK(""https://pokepast.es/39c616a4c727ef84"")"
yeffers,Jeff,"=HYPERLINK(""https://pokepast.es/9fccc47eede3aa31"")"
WhimVGC,Zach,"=HYPERLINK(""https://pokepast.es/3e768b3cad3de25a"")"
Aska VGC ,Aska,"=HYPERLINK(""https://pokepast.es/81731c0b7c177b7b"")"
MkYk,히나,"=HYPERLINK(""https://pokepast.es/6987f604c77d1af4"")"
fgyt4334,실크,"=HYPERLINK(""https://pokepast.es/77b0b4b1798d3094"")"
sergioigarashi,Arashi,"=HYPERLINK(""https://pokepast.es/603e04953cbed867"")"
captainkernelcorn,Rily,"=HYPERLINK(""https://pokepast.es/8a68364f004c38a2"")"
Mr Frey,Javi,"=HYPERLINK(""https://pokepast.es/b09a078a2bb34016"")"
i_kazuki,ミオリア,"=HYPERLINK(""https://pokepast.es/f0b2856ab913da17"")"
arubega,アルベガ,"=HYPERLINK(""https://pokepast.es/ff41af0a6e0e84a3"")"
tannerdmask,Tanner,"=HYPERLINK(""https://pokepast.es/ada4ac8cf3e43e29"")"
yanvsym1,Hellraiser,"=HYPERLINK(""https://pastebin.com/mkR6Rfua"")"
JimmyLeSimplet,Jimmy,"=HYPERLINK(""https://pokepast.es/59c9c94de10b59e2"")"
patcon5,Patrick,"=HYPERLINK(""https://pokepast.es/7eb50d894b7e65d5"")"
Astterio,Tailor,"=HYPERLINK(""https://pokepast.es/5a0e09d210587edf"")"
blazingbolt2014,Andrew,"=HYPERLINK(""https://pokepast.es/8656c85317f6612e"")"
Esteban Molina Ávila,MolinaVGC,"=HYPERLINK(""https://pokepast.es/12e263f31914ccf1"")"
nashvgc,Nash,"=HYPERLINK(""https://pokepast.es/88589594caea326e"")"
avidgamer,NinoPokeBros,"=HYPERLINK(""https://pokepast.es/a22c42247805041d"")"
jaibee1905,Jack,"=HYPERLINK(""https://pokepast.es/0b0aa1f17c4a257a"")"
galbaldy97,バイオレット,"=HYPERLINK(""https://pokepast.es/f0a0b9ad49e7349c"")"
jonago-1,Benny,"=HYPERLINK(""https://pokepast.es/c652222a5090ee82"")"
meak104,シュン,"=HYPERLINK(""https://pokepast.es/ed639d157a5046cf"")"
bbhhbtf,JMR,"=HYPERLINK(""https://pokepast.es/cb7428d259696f25"")"
lorenzoandroid3,Bjorn,"=HYPERLINK(""https://pokepast.es/5c4090f5f14b5b61"")"
amico94,RefAmici94,"=HYPERLINK(""https://pokepast.es/5a0c4022822a5fed"")"
ChessBoard,ChessBoard,"=HYPERLINK(""https://pokepast.es/314520626f03c79c"")"
King Blex,King Blex,"=HYPERLINK(""https://pokepast.es/28a8701906e86729"")"
Omegahosi,きんれんか,"=HYPERLINK(""https://pokepast.es/8164df7c521b87b0"")"
